00:26:38;17.80
00:36:39;17.62
00:46:39;17.46
00:56:40;17.32
01:06:40;17.25
01:16:41;17.15
01:26:42;17.10
01:36:42;17.05
01:46:43;16.96
01:56:44;16.91
02:06:44;16.92
02:16:45;16.87
02:26:46;16.83
02:36:47;16.84
02:46:47;16.78
02:56:48;16.73
03:06:48;16.68
03:16:49;16.68
03:26:50;16.68
03:36:51;16.66
03:46:51;16.66
03:56:52;16.62
04:06:53;16.63
04:16:54;16.60
04:26:54;16.58
04:36:55;16.59
04:46:56;16.59
04:56:57;16.55
05:06:57;16.51
05:16:58;16.54
05:26:59;16.49
05:37:00;16.46
05:47:00;16.43
05:57:01;16.44
06:07:02;16.40
06:17:03;16.42
06:27:04;16.42
06:37:04;16.36
06:47:05;16.38
06:57:06;16.36
07:07:07;16.36
07:17:08;16.35
07:27:08;16.35
07:37:09;16.35
07:47:10;16.35
07:57:11;16.36
08:07:11;16.35
